Players,Sentiment Score,Score_with_stats
kevin durant,0.9041,7.904
kevin huerter,0.928,3.372
kevin huerter,0.928,2.857
kevin huerter,0.928,4.439
kevin love,0.9246,2.049
kevon looney,-0.9313,2.322
khris middleton,0.9616,4.073
khris middleton,0.9616,4.249
khris middleton,0.9616,3.746
killian hayes,0.9476,3.603
klay thompson,0.1761,4.547
kobe bufkin,0.8999,1.913
kris dunn,-0.9559,2.846
kris murray,0.3025,1.631
kyle anderson,0.9325,2.254
kyle anderson,0.9325,2.248
kyle anderson,0.9325,2.326
kyle kuzma,0.9217,4.954
kyle kuzma,0.9217,4.936
kyle kuzma,0.9217,4.977
kyle lowry,0.9578,1.97
kyrie irving,0.7351,7.432
lamelo ball,0.9692,7.536
landry shamet,0.4939,1.605
larry nance jr.,0.8316,3.124
lauri markkanen,0.8779,5.813
lebron james,0.988,7.972
lonzo ball,0.9299,3.062
luguentz dort,0.5719,3.731
luke kennard,0.4927,3.35
luke kornet,0.4927,2.565
malachi flynn,0.1513,1.581
malcolm brogdon,0.5096,4.229
malik beasley,0.3818,4.851
malik monk,0.8832,5.767
marcus sasser,0.8558,2.156
marcus smart,0.9275,3.096
marcus smart,0.9275,3.131
marcus smart,0.9275,3.029
mark williams,0.8689,5.517
markieff morris,0.8122,1.738
mason plumlee,0.836,2.337
matisse thybulle,-0.3206,2.409
max strus,0.3195,3.542
maxi kleber,0.6121,1.648
maxwell lewis,0.546,1.724
mikal bridges,0.4939,5.836
mike conley,0.6003,3.347
miles bridges,-0.3818,6.636
mitchell robinson,0.3182,2.211
mo bamba,0.0702,1.908
mo bamba,0.0702,1.94
mo bamba,0.0702,1.722
monte morris,0.967,1.854
moritz wagner,-0.4588,4.03
moses brown,-0.56,4.057
moses moody,0.0,3.289
mouhamed gueye,0.7612,2.321
myles turner,0.7351,5.183
naji marshall,0.8151,4.553
naz reid,-0.1531,4.872
nick richards,-0.5267,3.646
nick richards,-0.5267,3.445
nick richards,-0.5267,3.778
nickeil alexander-walker,0.7579,3.359
nicolas batum,0.6542,1.841
norman powell,0.7269,6.463
og anunoby,-0.1779,5.747
obi toppin,-0.7708,3.521
ochai agbaji,0.9042,3.618
olivier-maxence prosper,0.9263,1.562
onyeka okongwu,-0.3037,4.875
orlando robinson,0.296,2.569
orlando robinson,0.296,3.059
oshae brissett,0.675,3.072
ousmane dieng,-0.6746,1.518
paolo banchero,-0.1255,7.788
pascal siakam,-0.7184,6.519
pat connaughton,0.7924,1.783
patrick williams,0.8905,3.322
paul george,0.8957,5.503
payton pritchard,-0.4118,4.657
peyton watson,0.6689,3.15
precious achiuwa,0.5414,2.702
rj barrett,-0.3937,6.796
reggie jackson,0.9376,1.67
richaun holmes,0.4019,2.982
robert williams,0.0516,2.67
rudy gobert,0.8879,4.766
rui hachimura,-0.296,4.487
russell westbrook,0.9538,4.796
ryan rollins,0.0,2.022
sam hauser,-0.5814,2.898
sam merrill,-0.3403,2.548
scoot henderson,0.5859,4.295
scottie barnes,0.0,6.616
seth curry,0.3192,2.088
shaedon sharpe,0.5267,5.489
shai gilgeous-alexander,0.9201,9.362
shake milton,0.197,2.076
shake milton,0.197,2.621
shake milton,0.197,1.508
spencer dinwiddie,0.8047,3.925
stephen curry,0.9753,7.157
steven adams,0.9747,1.929
taj gibson,0.7501,1.407
talen horton-tucker,0.7003,1.893
tari eason,0.3612,4.375
taurean prince,0.9573,3.176
taylor hendricks,0.9731,2.487
terance mann,0.9442,2.79
terance mann,0.9442,2.423
terance mann,0.9442,3.41
terry rozier,-0.1027,3.864
thomas bryant,0.8573,2.455
thomas bryant,0.8573,1.677
thomas bryant,0.8573,2.609
tim hardaway jr.,0.9393,3.589
tobias harris,0.6724,4.902
torrey craig,0.8442,1.687
torrey craig,0.8442,2.267
toumani camara,-0.4144,4.292
trae young,0.936,7.569
trayce jackson-davis,0.9438,2.758
tre jones,0.714,2.908
tre jones,0.714,2.062
tre jones,0.714,4.206
trevelin queen,0.0,1.694
trey lyles,-0.2933,2.543
ty jerome,0.4404,3.872
tyler herro,0.5346,7.268
tyrese haliburton,0.9323,6.403
tyrese martin,0.802,3.132
tyrese maxey,0.5578,7.829
tyus jones,0.8555,3.904
victor wembanyama,0.9062,7.941
vit krejci,0.8898,2.678
walker kessler,0.8945,4.893
zach collins,-0.8201,2.473
zach collins,-0.8201,1.819
zach collins,-0.8201,3.559
zach lavine,-0.1753,6.838
zach lavine,-0.1753,7.128
zach lavine,-0.1753,6.324
zeke nnaji,0.0387,1.345
zion williamson,-0.5935,7.487
