Players,Sentiment Score,Score_with_stats,ast_per_game,stl_per_game,tov_per_game
tre jones,0.714,2.908,4.9,1.1,0.8
tre jones,0.714,2.062,4.2,0.8,0.8
tre jones,0.714,2.062,3.7,0.6,0.8
tre jones,0.714,2.062,4.9,1.1,0.8
tre jones,0.714,4.206,4.2,0.8,0.8
tre jones,0.714,4.206,3.7,0.6,0.8
tre jones,0.714,4.206,4.9,1.1,0.8
trevelin queen,0.0,1.694,1.2,1.0,0.8
trey lyles,-0.2933,2.543,1.2,0.6,0.5
ty jerome,0.4404,3.872,3.3,1.1,1.3
tyler herro,0.5346,7.268,5.6,0.9,2.6
tyrese haliburton,0.9323,6.403,9.1,1.5,1.7
tyrese martin,0.802,3.132,2.0,0.6,1.1
tyrese maxey,0.5578,7.829,6.1,1.8,2.4
tyus jones,0.8555,3.904,5.5,0.8,1.2
victor wembanyama,0.9062,7.941,3.7,1.1,3.2
vit krejci,0.8898,2.678,2.6,0.6,0.9
walker kessler,0.8945,4.893,1.7,0.6,1.5
zach collins,-0.8201,2.473,1.7,0.5,0.9
zach collins,-0.8201,2.473,1.4,0.4,0.6
zach collins,-0.8201,2.473,2.1,0.6,1.3
zach collins,-0.8201,1.819,1.7,0.5,0.9
zach collins,-0.8201,1.819,1.4,0.4,0.6
zach collins,-0.8201,1.819,2.1,0.6,1.3
zach collins,-0.8201,3.559,1.7,0.5,0.9
zach collins,-0.8201,3.559,1.4,0.4,0.6
zach collins,-0.8201,3.559,2.1,0.6,1.3
zach lavine,-0.1753,6.838,4.2,0.8,2.9
zach lavine,-0.1753,6.838,4.5,0.9,2.9
zach lavine,-0.1753,6.838,3.7,0.7,3.0
zach lavine,-0.1753,7.128,4.2,0.8,2.9
zach lavine,-0.1753,7.128,4.5,0.9,2.9
zach lavine,-0.1753,7.128,3.7,0.7,3.0
zach lavine,-0.1753,6.324,4.2,0.8,2.9
zach lavine,-0.1753,6.324,4.5,0.9,2.9
zach lavine,-0.1753,6.324,3.7,0.7,3.0
zeke nnaji,0.0387,1.345,0.4,0.4,0.2
zion williamson,-0.5935,7.487,5.3,1.2,3.0
