Players,Sentiment Score,Score_with_stats,ast_per_game,stl_per_game,tov_per_game
colin castleton,0.8885,3.186,1.8,0.6,2.1
collin sexton,0.9207,5.421,4.2,0.7,2.6
cory joseph,-0.7351,1.397,1.4,0.5,0.4
daquan jeffries,0.8805,2.568,1.1,0.6,0.7
dalen terry,0.7579,1.713,1.3,0.6,0.7
damian lillard,-0.5542,7.59,7.1,1.2,2.8
daniel gafford,0.1022,4.295,1.4,0.4,1.2
daniel theis,0.9134,2.067,1.6,0.5,0.7
dante exum,-0.8599,3.035,2.8,0.7,1.1
darius garland,0.8108,6.345,6.7,1.2,2.5
david roddy,0.9217,1.829,1.1,0.5,0.7
david roddy,0.9217,1.829,1.1,0.4,0.7
david roddy,0.9217,1.786,1.1,0.5,0.7
david roddy,0.9217,1.786,1.1,0.4,0.7
deandre jordan,0.1265,1.815,1.0,0.3,0.8
demar derozan,-0.6819,6.768,4.4,0.9,1.4
dean wade,0.719,2.457,1.3,0.7,0.4
deandre ayton,0.7139,5.335,1.6,0.8,1.7
dejounte murray,0.4201,6.169,7.4,2.0,3.4
delon wright,0.9428,1.412,1.7,0.8,0.5
delon wright,0.9428,1.412,1.8,0.9,0.5
delon wright,0.9428,1.412,1.3,0.4,0.6
delon wright,0.9428,1.45,1.7,0.8,0.5
delon wright,0.9428,1.45,1.8,0.9,0.5
delon wright,0.9428,1.45,1.3,0.4,0.6
delon wright,0.9428,1.288,1.7,0.8,0.5
delon wright,0.9428,1.288,1.8,0.9,0.5
delon wright,0.9428,1.288,1.3,0.4,0.6
deni avdija,0.4744,5.462,3.8,1.0,2.6
derrick white,0.9168,5.574,4.6,1.0,1.6
desmond bane,0.476,6.184,5.4,1.2,2.5
devin booker,0.8655,7.624,7.0,0.9,2.9
devin vassell,0.835,5.294,2.9,1.3,1.3
dillon brooks,0.8248,4.538,1.7,0.8,1.0
domantas sabonis,0.9712,7.125,6.0,0.7,2.9
donovan mitchell,0.8957,7.097,4.9,1.3,2.1
donte divincenzo,0.9001,4.104,3.8,1.2,1.5
dorian finney-smith,0.5271,3.331,1.4,0.9,0.9
dorian finney-smith,0.5271,3.331,1.6,0.9,0.9
dorian finney-smith,0.5271,3.331,1.3,1.0,0.9
dorian finney-smith,0.5271,3.819,1.4,0.9,0.9
dorian finney-smith,0.5271,3.819,1.6,0.9,0.9
dorian finney-smith,0.5271,3.819,1.3,1.0,0.9
dorian finney-smith,0.5271,3.101,1.4,0.9,0.9
dorian finney-smith,0.5271,3.101,1.6,0.9,0.9
dorian finney-smith,0.5271,3.101,1.3,1.0,0.9
draymond green,0.9503,4.052,5.6,1.5,2.5
drew eubanks,0.4854,1.959,0.9,0.2,0.7
drew eubanks,0.4854,1.959,1.2,0.3,0.8
drew eubanks,0.4854,2.408,0.9,0.2,0.7
drew eubanks,0.4854,2.408,1.2,0.3,0.8
duncan robinson,0.3182,3.603,2.5,0.6,1.2
dwight powell,0.9574,1.195,1.1,0.3,0.4
dyson daniels,0.7792,5.328,4.3,3.1,2.0
elfrid payton,0.8979,2.326,5.8,1.1,2.3
elfrid payton,0.8979,2.326,7.2,1.2,2.9
elfrid payton,0.8979,2.326,3.3,1.0,1.2
elfrid payton,0.8979,2.846,5.8,1.1,2.3
elfrid payton,0.8979,2.846,7.2,1.2,2.9
elfrid payton,0.8979,2.846,3.3,1.0,1.2
elfrid payton,0.8979,1.403,5.8,1.1,2.3
elfrid payton,0.8979,1.403,7.2,1.2,2.9
elfrid payton,0.8979,1.403,3.3,1.0,1.2
eric gordon,0.0948,2.424,1.7,0.7,0.7
evan mobley,0.0,6.304,3.1,0.8,2.0
fred vanvleet,0.5867,5.182,5.6,1.6,1.4
gabe vincent,0.0772,2.388,1.4,0.7,0.6
garrison mathews,0.9217,2.461,1.3,0.6,0.6
gary harris,0.8442,1.315,0.6,0.6,0.3
gary trent jr.,-0.7178,3.587,1.1,1.0,0.6
georges niang,0.5363,3.325,1.4,0.4,1.0
georges niang,0.5363,3.325,1.3,0.3,0.9
georges niang,0.5363,3.325,1.7,0.5,1.0
georges niang,0.5363,3.007,1.4,0.4,1.0
georges niang,0.5363,3.007,1.3,0.3,0.9
georges niang,0.5363,3.007,1.7,0.5,1.0
georges niang,0.5363,4.096,1.4,0.4,1.0
georges niang,0.5363,4.096,1.3,0.3,0.9
georges niang,0.5363,4.096,1.7,0.5,1.0
giannis antetokounmpo,0.8428,9.391,5.9,0.8,3.2
goga bitadze,0.3818,3.195,2.0,0.7,1.1
gradey dick,0.9468,4.549,1.8,0.9,1.5
grant williams,0.8289,3.918,2.3,1.1,1.8
grayson allen,0.9178,3.487,2.1,0.9,1.1
harrison barnes,0.3962,3.939,1.7,0.4,0.6
haywood highsmith,0.1779,2.683,1.5,1.0,0.7
immanuel quickley,0.936,5.531,5.8,0.7,1.8
isaac okoro,0.9729,2.234,1.3,0.6,0.4
isaiah hartenstein,0.4215,4.834,3.9,0.8,1.7
isaiah joe,0.8766,3.295,1.5,0.6,0.5
isaiah stewart,-0.8176,2.714,1.7,0.4,0.9
ivica zubac,0.9037,6.199,2.5,0.7,1.6
ja morant,0.8805,6.824,7.4,1.2,3.7
jaden hardy,0.0,2.562,1.3,0.5,1.4
jaden ivey,0.719,5.475,4.0,0.9,3.0
jaden mcdaniels,0.9798,4.613,2.1,1.4,1.1
jae crowder,0.878,1.21,0.6,0.4,0.5
jake laravia,0.8674,2.779,2.4,0.9,1.3
jake laravia,0.8674,2.779,2.8,0.9,1.5
jake laravia,0.8674,2.779,1.3,0.9,0.9
jake laravia,0.8674,2.96,2.4,0.9,1.3
jake laravia,0.8674,2.96,2.8,0.9,1.5
jake laravia,0.8674,2.96,1.3,0.9,0.9
jake laravia,0.8674,2.363,2.4,0.9,1.3
jake laravia,0.8674,2.363,2.8,0.9,1.5
jake laravia,0.8674,2.363,1.3,0.9,0.9
jakob poeltl,0.8834,5.449,2.8,1.2,1.9
jalen brunson,-0.1638,7.767,7.4,1.0,2.5
jalen duren,-0.0015,4.654,2.6,0.7,1.7
jalen green,0.0,6.46,3.4,0.9,2.5
jalen johnson,0.6858,6.766,5.0,1.6,2.9
jalen pickett,0.7499,1.46,1.9,0.4,0.4
jalen smith,0.8979,2.96,1.0,0.3,0.6
jalen williams,0.8957,6.724,5.2,1.6,2.2
jalen wilson,-0.3818,3.257,1.8,0.5,1.0
jamal cain,0.9136,1.29,0.5,0.4,0.4
jamal murray,0.8089,6.838,6.0,1.4,2.0
james harden,0.8661,7.23,8.6,1.5,4.4
jarace walker,-0.5859,2.196,1.4,0.8,1.0
jaren jackson jr.,0.9403,6.63,2.1,1.3,2.1
jarred vanderbilt,0.3919,2.078,1.3,1.0,0.7
jarrett allen,0.4131,5.173,1.9,1.0,1.2
javonte green,0.128,2.269,0.8,1.0,0.5
javonte green,0.128,2.269,0.9,1.1,0.6
javonte green,0.128,2.48,0.8,1.0,0.5
javonte green,0.128,2.48,0.9,1.1,0.6
jaxson hayes,0.8294,2.78,1.1,0.5,0.8
jaylen brown,0.491,6.954,4.6,1.2,2.6
jaylen nowell,-0.1027,2.962,2.3,0.1,1.0
