seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
32198.0,2025,5062.0,Jaylin Williams,,PF,22.0,3.0,NBA,OKC,44,7.0,16.6,2.0,4.7,0.427,1.2,3.3,0.378,0.8,1.4,0.54,0.558,0.5,0.6,0.75,1.0,4.5,5.6,2.5,0.5,0.6,0.7,1.7,5.7
32200.0,2025,4518.0,Jayson Tatum,,PF,26.0,8.0,NBA,BOS,68,68.0,36.4,9.3,20.5,0.454,3.5,10.1,0.348,5.8,10.3,0.559,0.541,5.0,6.2,0.814,0.7,8.1,8.8,5.9,1.1,0.5,3.0,2.1,27.1
32203.0,2025,4959.0,Jeff Dowtin,,PG,27.0,4.0,NBA,PHI,39,3.0,14.4,2.6,5.2,0.49,0.6,1.6,0.393,1.9,3.7,0.531,0.549,0.7,1.0,0.744,0.3,1.2,1.5,1.8,0.5,0.3,0.4,0.7,6.5
32204.0,2025,3761.0,Jeff Green,,PF,38.0,17.0,NBA,HOU,28,2.0,12.1,1.8,3.5,0.515,0.8,2.1,0.367,1.0,1.3,0.757,0.629,0.6,0.7,0.85,0.4,1.4,1.7,0.5,0.2,0.1,0.3,1.0,5.0
32205.0,2025,4257.0,Jerami Grant,,PF,30.0,11.0,NBA,POR,47,47.0,32.4,4.6,12.2,0.373,2.3,6.3,0.365,2.3,5.9,0.381,0.467,3.0,3.5,0.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4
32206.0,2025,4960.0,Jeremiah Robinson-Earl,,PF,24.0,4.0,NBA,NOP,59,6.0,18.1,2.3,4.9,0.467,0.8,2.3,0.35,1.5,2.6,0.572,0.55,0.7,0.8,0.837,1.5,2.9,4.4,1.2,0.6,0.1,0.7,1.2,6.1
32207.0,2025,5064.0,Jeremy Sochan,,PF,21.0,3.0,NBA,SAS,54,23.0,25.3,4.6,8.7,0.535,0.5,1.7,0.308,4.1,7.0,0.59,0.565,1.6,2.3,0.696,2.4,4.2,6.5,2.4,0.8,0.5,1.6,2.4,11.4
32208.0,2025,4961.0,Jericho Sims,,C,26.0,4.0,NBA,TOT,53,5.0,11.9,0.8,1.3,0.634,0.0,0.0,,0.8,1.3,0.634,0.634,0.2,0.2,0.615,1.3,2.4,3.7,0.6,0.2,0.4,0.6,1.2,1.8
32209.0,2025,4961.0,Jericho Sims,,C,26.0,4.0,NBA,NYK,39,5.0,10.8,0.7,1.2,0.609,0.0,0.0,,0.7,1.2,0.609,0.609,0.2,0.3,0.615,1.3,2.0,3.3,0.6,0.2,0.3,0.5,1.2,1.6
32210.0,2025,4961.0,Jericho Sims,,C,26.0,4.0,NBA,MIL,14,0.0,15.0,1.2,1.8,0.68,0.0,0.0,,1.2,1.8,0.68,0.68,0.0,0.0,,1.4,3.4,4.9,0.8,0.1,0.6,0.9,1.4,2.4
32212.0,2025,5160.0,Jett Howard,,SF,21.0,2.0,NBA,ORL,57,0.0,11.1,1.5,4.1,0.356,0.9,3.0,0.298,0.6,1.1,0.508,0.464,0.3,0.4,0.75,0.4,0.8,1.2,0.7,0.2,0.2,0.5,1.0,4.1
32214.0,2025,4023.0,Jimmy Butler,,SF,35.0,14.0,NBA,TOT,47,47.0,31.3,5.4,11.0,0.493,0.5,1.9,0.278,4.9,9.1,0.539,0.517,5.7,6.9,0.824,2.4,3.3,5.7,5.5,1.2,0.3,1.4,1.0,17.1
32215.0,2025,4023.0,Jimmy Butler,,PF,35.0,14.0,NBA,MIA,25,25.0,30.6,5.7,10.5,0.54,0.5,1.4,0.361,5.2,9.1,0.568,0.565,5.2,6.4,0.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0
32216.0,2025,4023.0,Jimmy Butler,,SF,35.0,14.0,NBA,GSW,22,22.0,32.0,5.1,11.5,0.445,0.5,2.5,0.222,4.6,9.1,0.505,0.469,6.3,7.4,0.847,2.6,3.5,6.1,6.3,1.4,0.3,1.7,1.0,17.1
32217.0,2025,4962.0,Jock Landale,,C,29.0,4.0,NBA,HOU,38,1.0,10.8,1.7,3.4,0.508,0.2,0.5,0.4,1.5,2.9,0.527,0.538,0.6,0.9,0.667,1.3,1.8,3.0,0.8,0.3,0.2,0.5,1.1,4.3
32219.0,2025,4416.0,Joel Embiid,,C,30.0,9.0,NBA,PHI,19,19.0,30.2,7.4,16.6,0.444,1.2,4.1,0.299,6.2,12.5,0.492,0.481,7.8,8.9,0.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8
32220.0,2025,4519.0,John Collins,,PF,27.0,8.0,NBA,UTA,40,31.0,30.5,7.0,13.3,0.527,1.5,3.7,0.399,5.5,9.6,0.577,0.583,3.5,4.1,0.848,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0
32221.0,2025,4734.0,John Konchar,,SG,28.0,6.0,NBA,MEM,42,4.0,12.2,0.9,2.0,0.43,0.5,1.4,0.356,0.4,0.6,0.593,0.552,0.2,0.2,0.875,0.8,2.5,3.3,0.9,0.5,0.3,0.4,0.8,2.4
32224.0,2025,5067.0,Johnny Juzang,,SG,23.0,3.0,NBA,UTA,58,13.0,18.7,3.0,6.9,0.439,1.7,4.5,0.373,1.3,2.3,0.566,0.561,0.7,0.8,0.837,0.7,2.2,2.8,1.0,0.5,0.1,0.5,1.9,8.4
