Players,Sentiment Score,tov_per_game
ivica zubac,0.9037,1.6
ja morant,0.8805,3.7
jaden hardy,0.0,1.4
jaden ivey,0.719,3.0
jaden mcdaniels,0.9798,1.1
jae crowder,0.878,0.5
jake laravia,0.8674,1.3
jake laravia,0.8674,1.5
jake laravia,0.8674,0.9
jake laravia,0.8674,1.3
jake laravia,0.8674,1.5
jake laravia,0.8674,0.9
jake laravia,0.8674,1.3
jake laravia,0.8674,1.5
jake laravia,0.8674,0.9
jakob poeltl,0.8834,1.9
jalen brunson,-0.1638,2.5
jalen duren,-0.0015,1.7
jalen green,0.0,2.5
jalen johnson,0.6858,2.9
jalen pickett,0.7499,0.4
jalen smith,0.8979,0.6
jalen williams,0.8957,2.2
jalen wilson,-0.3818,1.0
jamal cain,0.9136,0.4
jamal murray,0.8089,2.0
james harden,0.8661,4.4
jarace walker,-0.5859,1.0
jaren jackson jr.,0.9403,2.1
jarred vanderbilt,0.3919,0.7
jarrett allen,0.4131,1.2
javonte green,0.128,0.5
javonte green,0.128,0.6
javonte green,0.128,0.5
javonte green,0.128,0.6
jaxson hayes,0.8294,0.8
jaylen brown,0.491,2.6
jaylen nowell,-0.1027,1.0
jayson tatum,0.6491,3.0
jeff green,0.0,0.3
jerami grant,0.9186,1.4
jeremy sochan,0.5499,1.6
jett howard,0.6131,0.5
jimmy butler,0.9298,1.4
jimmy butler,0.9298,1.2
jimmy butler,0.9298,1.7
jimmy butler,0.9298,1.4
jimmy butler,0.9298,1.2
jimmy butler,0.9298,1.7
jimmy butler,0.9298,1.4
jimmy butler,0.9298,1.2
jimmy butler,0.9298,1.7
jock landale,0.0,0.5
joel embiid,0.802,3.3
john collins,0.4577,2.6
john konchar,0.9432,0.4
jonathan isaac,-0.8923,0.4
jonathan kuminga,0.0,1.5
jordan clarkson,0.9062,2.3
jordan hawkins,-0.0243,1.0
jordan miller,-0.0757,0.7
jordan poole,0.9423,3.1
jose alvarado,0.0,1.3
josh green,0.9459,1.0
josh hart,0.7351,2.0
josh okogie,-0.3071,0.8
josh okogie,-0.3071,0.6
josh okogie,-0.3071,1.1
josh okogie,-0.3071,0.8
josh okogie,-0.3071,0.6
josh okogie,-0.3071,1.1
josh okogie,-0.3071,0.8
josh okogie,-0.3071,0.6
josh okogie,-0.3071,1.1
josh richardson,-0.3838,1.0
jrue holiday,0.8854,1.3
julian strawther,-0.5109,0.9
julius randle,0.5859,2.8
kj martin,0.8805,0.5
kj martin,0.8805,0.5
kj martin,0.8805,0.6
kj martin,0.8805,0.5
kj martin,0.8805,0.5
kj martin,0.8805,0.6
kj martin,0.8805,0.5
kj martin,0.8805,0.5
kj martin,0.8805,0.6
kai jones,0.0,0.4
kai jones,0.0,0.5
kai jones,0.0,0.4
kai jones,0.0,0.5
karl-anthony towns,0.7442,2.6
kawhi leonard,0.9721,2.0
keegan murray,0.25,0.8
keldon johnson,0.9821,0.9
kelly olynyk,0.83,1.8
kelly olynyk,0.83,1.5
kelly olynyk,0.83,2.2
kelly olynyk,0.83,1.8
kelly olynyk,0.83,1.5
kelly olynyk,0.83,2.2
kelly olynyk,0.83,1.8
kelly olynyk,0.83,1.5
kelly olynyk,0.83,2.2
kenrich williams,-0.2263,0.5
kentavious caldwell-pope,0.9186,0.8
kessler edwards,0.0,0.4
kevin durant,0.9041,3.1
kevin huerter,0.928,1.0
kevin huerter,0.928,0.9
kevin huerter,0.928,1.3
kevin huerter,0.928,1.0
kevin huerter,0.928,0.9
kevin huerter,0.928,1.3
kevin huerter,0.928,1.0
kevin huerter,0.928,0.9
kevin huerter,0.928,1.3
kevin love,0.9246,0.6
kevon looney,-0.9313,0.5
khris middleton,0.9616,1.5
khris middleton,0.9616,1.6
khris middleton,0.9616,1.4
khris middleton,0.9616,1.5
khris middleton,0.9616,1.6
khris middleton,0.9616,1.4
khris middleton,0.9616,1.5
khris middleton,0.9616,1.6
khris middleton,0.9616,1.4
killian hayes,0.9476,1.5
klay thompson,0.1761,1.3
kobe bufkin,0.8999,0.8
kris dunn,-0.9559,1.0
kris murray,0.3025,0.5
kyle anderson,0.9325,0.6
kyle anderson,0.9325,0.6
kyle anderson,0.9325,0.7
kyle anderson,0.9325,0.6
kyle anderson,0.9325,0.6
kyle anderson,0.9325,0.7
kyle anderson,0.9325,0.6
kyle anderson,0.9325,0.6
kyle anderson,0.9325,0.7
kyle kuzma,0.9217,2.2
kyle kuzma,0.9217,2.3
kyle kuzma,0.9217,2.2
kyle kuzma,0.9217,2.2
kyle kuzma,0.9217,2.3
kyle kuzma,0.9217,2.2
kyle kuzma,0.9217,2.2
kyle kuzma,0.9217,2.3
kyle kuzma,0.9217,2.2
kyle lowry,0.9578,0.6
kyrie irving,0.7351,2.2
lamelo ball,0.9692,3.6
landry shamet,0.4939,0.4
larry nance jr.,0.8316,0.7
lauri markkanen,0.8779,1.4
lebron james,0.988,3.8
lonzo ball,0.9299,1.2
